브랜드,파트넘버,제품명,스팩, 총재고 
,307TR6N150,DIP TR,IXTH6N150 / STW12N150K5(ST),2113
,307TRIP122,DIP TR,TIP122,1400
,307V10D201,DIP VARISTOR,MOV-10D201KTR,768
,307VRB104K,DIP VR,GF063P B104K,139
,307VRB504K,DIP VR,GF063P1 B504K/TOCOS,339
,307VTLV25P,SENSOR,LV25-P/SP7,8
,307X12MHC4,X-TAL,12MHZ(HC-49U),135
,307X32768K,DIP X-TAL,32.768KHz,51
,307X32768M,DIP X-TAL,3.2768MHz,195
,307XATS20M,X-TAL,ATS-20MHZ(SUNNY),468
,308BOM4X40,BOLT,PAN(+)더블샘스-STEEL[M4X40],2250
,308NUTFYM4,NUT,후렌지너트-YE[M4],2300
,308SUPDA6N,육각 Support,"DABS-6N , Plastic",1480
,308WASHNM3,WASHER,평와샤-NI [M3],1100
,309CBHRTS5,GMON HRTS SERIAL CABLE,HDEB 9P-9S 1:1 ASSY 5M(시중품),100
,310F9238B2,FAN,9238B2HL,1032
,310FAN0014,FAN 4000RPM,DFL8038B24 3L(RD)-140MM 3P(35155-0300),322
,310FAN8025,FAN,8025B2HL (4구),183
,310FS02512,FUSE,0251.250NRT1L 125V 0.25A,3000
,310FS1R5AP,PICO FUSE,1.5A 125V (025101.5NRT1L),6657
,310MCMST25,MC,S-T25 AC220V 2a2b,114
,311PWT0987,PCB,WJE-0987 (MCPU),100
,311PWT1103,PCB ,WJE-1103 / TB-600 BD,83
,311PWT1110,PCB,WJE-1110 (MRL TCB),50
,311PWT1922,PCB,WJE-1922 (WBVF SIN ISO ENCODER),100
,311PWT2098,PCB,WTN-2098 (WBVF WDPWM HPI BD),500
,311PWT2297,PCB,WJE-2297 (WB100 GATE 5.5~15KW),100
,311PWT3857,PCB,WJE-3857 (DI-16),100
,313BOXHRTG,포장 BOX,GMON HRTS,425
,320MTT2G2H,멀티코드HM,2구2호16A-1.5M,358
,F04B12S221,CHIP BEAD,MPZ2012S221AT000,1540
,F04B21PG12,CHIP BEAD,BLM21PG121SN1D,4000
,F04BE0805P,CHIP BEAD,PE-0805PFB600ST,2939
,F04CA102KB,CHIP CAPACITOR,3216 1nF K 50V X7R,3987
,F04CA104KB,CHIP CAPACITOR,3216 100nF K 50V X7R,4000
,F04CA104KC,CHIP CAPACITOR,CL31B104KCFNNNE (3216 100nF K 100V X5R),3573
,F04CA223KB,CHIP CAPACITOR,3216 22nF K 50V X7R,3535
,F04CA225KB,CHIP CAPACITOR,CL31B225KBHNNNE (3216 2.2uF K 50V X7R),1629
,F04CA475KB,CHIP CAPACITOR,CL31B475KBHNNNE (3216 4.7uF K 50V X7R),2538
,F04CA475MA,CHIP CAPACITOR,GRM31CR61E476ME44L (3216 47uF M 25V X5R),1868
,F04CA475MQ,CHIP CAPACITOR,CL31A476MQHNNNE (3216 47uF M 6.3V X5R),1984
,F04CB105KB,CHIP CAPACITOR,1210B105K500 (3225 1uF K 50V X7R),3000
,F04CB107MP,CHIP CAPACITOR,C1210C107M4PAC7800 (3225 100uF M 10V X5R),431
,F04CB476KO,CHIP CAPACITOR,3225 47uF K 16V X5R,384
,F04CF104KA,CHIP CAPACITOR,CL03A104KA3NNNC (0603 100nF K 25V X5R),6233
,F04CF106KK,CHIP CAPACITOR,1812B103K202 (4532 10nF K 2KV),3970
,F04CJ103JB,CHIP CAPACITOR,0603N103J500CT (1608 10nF J 50V C0G),3876
,F04CJ104JB,CHIP CAPACITOR,CL10B104JB8NNNC (1608 100nF J 50V X7R),3328
,F04CJ106MA,CHIP CAPACITOR,CL10A106MA8NRNC (1608 10uF M 25V X5R),40649
,F04CJ150JB,CHIP CAPACITOR,0603N150J500CT (1608 15pF J 50V NP0),3344
,F04CJ151KB,CHIP CAPACITOR,1608 150pF 50V X7R,1995
,F04CJ152JB,CHIP CAPACITOR,CL10C152JB8NNNC (1608 1.5nF J 50V C0G),3986
,F04CJ182KB,CHIP CAPACITOR,CL10B182KB8NNNC (1608 1.8nF K 50V X7R),3097
,F04CJ200JB,CHIP CAPACITOR,CL10C200JB8NNNC (1608 20pF J 50V C0G),3475
,F04CJ220JB,CHIP CAPACITOR,CL10C220JB8NNNC (1608 22pF J 50V C0G),3649
,F04CJ223KB,CHIP CAPACITOR,CL10B223KB8NFNC (1608 22nF K 50V X7R),2153
,F04CJ225KB,CHIP CAPACITOR,GRM188R61H225KE11D (1608 2.2uF K 50V X7R),3796
,F04CJ226MO,CHIP CAPACITOR,CL10A226MO7JZNC (1608 22uF M 16V X5R),11841
,F04CJ300JB,CHIP CAPACITOR,0603N300J500CT (1608 30pF J 50V NP0),3266
,F04CJ472KB,CHIP CAPACITOR,0603B472K500CT (1608 4.7nF K 50V X7R),3687
,F04CJ474KB,CHIP CAPACITOR,CL10A474KB8NNNC (1608 470nF K 50V X5R),2083
,F04CJ476MQ,CHIP CAPACITOR,CL10A476MQ8QRNC (1608 47uF M 6.3V X5R),11819
,F04CJ4R7BB,CHIP CAPACITOR,CL10C4R7BB8NNNC (1608 4.7pF B 50V C0G),3923
,F04CJ684KA,CHIP CAPACITOR,1608 680nF K 25V X5R,3773
,F04CN27104,CONNECTOR,52271-0469(MOLEX),495
,F04CN31020,CONNECTOR,67503-1020(USB/miniB-F-5p/RA) / HW-MU-5F-13(023),907
,F04CN5HR04,CONNECTOR,10025HR-04 -> 10019HR-04,2189
,F04CNLW304,DIP CONNECTOR,LWB1143-04,97
,F04CNSM08B,CONNECTOR,SM08B-GHS-TB,1560
,F04CP050CB,CHIP CAPACITOR,CL21C050CBANNNC (2012 5pF C 50V C0G),3975
,F04CP080DB,CHIP CAPACITOR,0805N8R0D500CT (2012 8pF D 50V C0G),3971
,F04CP100CB,CHIP CAPACITOR,CL21C100CBANNNC (2012 10pF C 50V C0G),3939
,F04CP100JB,CHIP CAPACITOR,0805N100J500CT (2012 10pF J 50V C0G),3980
,F04CP101JB,CHIP CAPACITOR,CL21C101JBANNNC (2012 100pF J 50V C0G),3947
,F04CP102JB,CHIP CAPACITOR,CL21B102JBANNNC (2012 1nF J 50V X7R),3986
,F04CP104JB,CHIP CAPACITOR,CL21B104JBCNNNC (2012 100nF J 50V X7R),3736
,F04CP106KP,CHIP CAPACITOR,CL21A106KPFNNNE (2012 10uF K 10V X5R),16036
,F04CP106KPB,CHIP CAPACITOR,CL21B106KPQNNNE (2012 10uF K 10V X7R),1965
,F04CP150JB,CHIP CAPACITOR,CL21C150JBANNNC (2012 15pF J 50V C0G),3976
,F04CP156KA,CHIP CAPACITOR,0805B155K250CT (2012 1.5uF K 25V X7R),2986
,F04CP201JB,CHIP CAPACITOR,CL21C201JBANNNC (2012 200pF J 50V C0G),3971
,F04CP476MP,CHIP CAPACITOR,GRM21BR61A476ME15L (2012 47UF 10V X5R),2277
,F04CP680JB,CHIP CAPACITOR,CL21C680JBNC (2012 68pF J 50V C0G),3975
,F04CS020JB,CHIP CAPACITOR,0402N2R0C500CT (1005 2pF C 50V  C0G),8183
,F04CS0R8CB,CHIP CAPACITOR,1005 0.8pF C 50V NP0,14856
,F04CS100JB,CHIP CAPACITOR,CL05C100JB5NNNC (1005 10pF J 50V C0G),15257
,F04CS105KA,CHIP CAPACITOR,CL05A105KA5NQNC (1005 1uF K 25V X5R),9360
,F04CS105KB,CHIP CAPACITOR,GRM155R61H105KE05D (1005 1uF K 50V X5R),9619
,F04CS122JB,CHIP CAPACITOR,0402B122K500CT  (1005 1.2nF K 50V X7R),9900
,F04CS150JB,CHIP CAPACITOR,CL05C150JB5NNNC (1005 15pF J 50V C0G),15381
,F04CS152KB,CHIP CAPACITOR,CL05B152KB5NNNC (1005 1.5nF K 50V X7R),9585
,F04CS154KP,CHIP CAPACITOR,0402X154K100 (1005 150nF K 10V X5R),9935
,F04CS160JB,CHIP CAPACITOR,CL05C160JB5NNNC (1005 16pF J 50V C0G),5416
,F04CS201JB,CHIP CAPACITOR,CL05C201JB5NNNC (1005 200pF J 50V C0G),2504
,F04CS223KB,CHIP CAPACITOR,1005 22nF K 50V X7R,6550
,F04CS225KA,CHIP CAPACITOR,CL05A225KA5NUNC (1005 2.2uF K 25V X5R),8155
,F04CS226MP,CHIP CAPACITOR,GRM158R61A226ME15D (1005 22UF M 10V X5R),7774
,F04CS270JB,CHIP CAPACITOR,CL05C270JB5NNNC (1005 27pF J 50V C0G),9688
,F04CS272KB,CHIP CAPACITOR,0402B272K500CT (1005 2.7nF K 50V X7R),9912
,F04CS2R7CB,CHIP CAPACITOR,GRM1555C1H2R7CA01D (1005 2.7pF C 50V C0G),8834
,F04CS300JB,CHIP CAPACITOR,0402N300J500CT (1005 30pF J 50V C0G),9817
,F04CS332KB,CHIP CAPACITOR,CL05B332KB5NNNC (1005 3.3nF K 50V X7R),6823
,F04CS333KP,CHIP CAPACITOR,0402B333K160CT (1005 33nF K 16V X7R),9952
,F04CS392JB,CHIP CAPACITOR,0402B392K500CT (1005 3.9nF K 50V X7R),9846
,F04CS471KB,CHIP CAPACITOR,CL05B471KB5NNNC (1005 470pF K 50V X7R),16785
,F04CS680JB,CHIP CAPACITOR,0402N680J500CT (1005 68pF J 50V NPO),9868
,F04CS681KB,CHIP CAPACITOR,CL05B681KB5NNNC (1005 680pF K 50V X7R),9939
,F04CS6R0DB,CHIP CAPACITOR,CL05C060DB5NNNC (1005 6pF D 50V C0G),9692
,F04CS6R8CB,CHIP CAPACITOR,CL05C6R8CB5NNNC (1005 6.8pF C 50V C0G),6119
,F04CS7R0JB,CHIP CAPACITOR,0402N7R0D500CT (1005 7pF D 50V NP0),9904
,F04CS820JB,CHIP CAPACITOR,CL05C820JB5NNNC (1005 82p J 50V C0G),6173
,F04CS8R0CB,CHIP CAPACITOR,CL05C080CB5NNNC (1005 8pF C 50V COG),8269
,F04D140SFT,DIODE,MBR140SFT1G,1903
,F04D1N5819,DIODE,1N5819HW,2978
,F04DBAS21L,DIODE,BAS21LT3G,1946
,F04DBAT54L,DIODE,BAT54LT1G,2048
,F04DCDSOT2,DIODE,CDSOT23-SM712,45
,F04DLJ160C,DIODE,SMLJ160CA/Bourns,60
,F04DMBJ15A,DIODE,SMBJ15A / P6SMB18A,2495
,F04DMMBD70,DIODE,MMBD7000LT1G,2110
,F04DN4148W,DIODE,1N4148W-7-F,296
,F04DSMB15A,DIODE,P6SMB15AT3G / SZP6SMB15AT3G,1557
,F04DSMB68A,DIODE,P6SMB6.8A,1791
,F04E10035V,ELEC CAPACITOR,MVK 100uF 35V(8*10),412
,F04E22735M,ELEC CAPACITOR,MVK 220uF 35V(8*10),330
,F04E33735V,ELEC CAPACITOR,MVK 330uF 35V (10*10),472
,F04F900HL2,FILTER,DLP11SN900HL2L,2904
,F04FAIES12,FILTER,AIES12U020R2,10000
,F04L191KRK,CHIP LED,LTST-C191KRKT (1608 RED),83
,F04L2USO14,CHIP LED,LS-SP192USO14 (1608 ORANGE),45
,F04L310VTT,CHIP LED,SML-310VTT86(1608 RED),15
,F04LR1608S,CHIP LED,"HL-PST-1608S9AC [R,626-636]",3990
,F04N15A1N8,CHIP INDUCTOR,LQW15AN1N8C00D (1005 1.8nH),8822
,F04N15H3N0,CHIP INDUCTOR,LQG15HN3N0S02D(1005 3nH),5949
,F04N2F4R7M,CHIP INDUCTOR,DFE252012F-4R7M,2553
,F04N706022,CHIP INDUCTOR,SPS7060-220M,788
,F04NCMJ100,CHIP INDUCTOR,CM1608F100KT,3706
,F04OS03248,OSCILLATOR,OSC 5032 48MHZ 3.3V(H&SHIGHTECH),309
,F04RA0560F,RESISTOR,WR12X56R0FTL (3216 F 56R),4992
,F04RA1002F,RESISTOR,3216 F 10K,4947
,F04RA101J1,RESISTOR,WR12X101JTL (3216 J 100R),1727
,F04RA1020F,RESISTOR,3216 F 102R,2970
,F04RA106J1,RESISTOR,WR12X106JTL (3216 J 10M),4538
,F04RA1101F,RESISTOR,WR12X1101FTL (3216 F 1.1K),4910
,F04RA1201F,RESISTOR,3216 F 1.2K,4986
,F04RA2001F,RESISTOR,3216 F 2K,4989
,F04RA2201F,RESISTOR,3216 F 2.2K,5000
,F04RA2400F,RESISTOR,WR12X2400FTL (3216 F 240R),4826
,F04RA2490F,RESISTOR,WR12X2490FTL (3216 F 249R),4970
,F04RA273J1,RESISTOR,3216 J 27K,4943
,F04RA3000F,RESISTOR,WR12X3000FTL (3216 F 300R),2299
,F04RA332J1,RESISTOR,WR12X322JTL (3216 J 3.3K),3087
,F04RA360J1,RESISTOR,WR12X360JTL (3216 J 36R),4900
,F04RA3901F,RESISTOR,3216 F 3.9K,4559
,F04RA3R90F,RESISTOR,3216 F 3.9R,4963
,F04RA470J1,RESISTOR,3216 J 47R,4811
,F04RA472J1,RESISTOR,WR12X472JTL (3216 J 4.7K),8368
,F04RA473J1,RESISTOR,3216 J 47K,4995
,F04RA49R9F,RESISTOR,3216 F 49.9R,4980
,F04RA512J1,RESISTOR,3216 J 5.1K,19098
,F04RA5601F,RESISTOR,WR12X5601FTL (3216 F 5.6K),4690
,F04RA6040F,RESISTOR,WR12X6040FTL (3216 F 604R),4841
,F04RA620J1,RESISTOR,WR12X620JTL (3216 J 62R),3830
,F04RA681F1,RESISTOR,WR12X6800FTL (3216 F 680R),3066
,F04RA7150F,RESISTOR,MCR18ERTF7150 (3216 F 715R),5000
,F04RAA101J,ARRAY RESISTOR,WA06X101JTL (064R J 100R (1608*4)),11149
,F04RAA103J,ARRAY RESISTOR,WA06X103JTL (064R J 10K (1608*4)),3565
,F04RAA220J,ARRAY RESISTOR,WA06X220JTL (064R J 22R (1608*4)),4896
,F04RAA331J,ARRAY RESISTOR,WA06X331JTL (064R J 330R (1608*4)),1963
,F04RAS101J,ARRAY RESISTOR,WA04X101JTL (044R J 100R),9989
,F04RAS510J,ARRAY RESISTOR,WA04X510JTL (044R J 51R(1005*4)),9364
,F04RB000J1,RESISTOR,3225 J 0R,4944
,F04RB102J1,RESISTOR,3225 J 1K,4390
,F04RB122J1,RESISTOR,3225 J 1.2K,4796
,F04RC1000F,RESISTOR,5025 F 100R,3750
,F04RC102J1,RESISTOR,WR20X102JTL (5025 J 1K),3588
,F04RC1300F,RESISTOR,WR20X1300FTL (5025 F 130R),4000
,F04RJ00R1F,RESISTOR,1608 F 0.1R,4985
,F04RJ0430F,RESISTOR,1608 F 43R,3987
,F04RJ0510F,RESISTOR,1608 F 51R,4977
,F04RJ0820F,RESISTOR,1608 F 82R,4983
,F04RJ1004F,RESISTOR,1608 F 1M,4610
,F04RJ1020F,RESISTOR,WR06X1020FTL (1608 F 102R),4028
,F04RJ1102F,RESISTOR,1608 F 11K,4983
,F04RJ1183F,RESISTOR,1608 F 118K,4754
,F04RJ1203F,RESISTOR,1608 F 120K,4716
,F04RJ121J1,RESISTOR,WR06X121JTL (1608 J 120R),3454
,F04RJ122J1,RESISTOR,WR06X122JTL (1608 J 1.2K),4977
,F04RJ123J1,RESISTOR,1608 J 12K,4474
,F04RJ1302F,RESISTOR,1608 F 13K,4994
,F04RJ131J1,RESISTOR,1608 J 130R,4989
,F04RJ133J1,RESISTOR,WR06X133JTL (1608 J 13K),4607
,F04RJ1473F,RESISTOR,1608 F 147K,4366
,F04RJ1501F,RESISTOR,1608 F 1.5K,4012
,F04RJ1503F,RESISTOR,1608 F 150K,4983
,F04RJ150J1,RESISTOR,1608 J 15R,2284
,F04RJ153J1,RESISTOR,1608 J 15K,3654
,F04RJ1542F,RESISTOR,1608 F 15.4K,4990
,F04RJ1600F,RESISTOR,1608 F 160R,4983
,F04RJ1653F,RESISTOR,1608 F 165K,4985
,F04RJ1691F,RESISTOR,1608 F 1.69K,3732
,F04RJ1692F,RESISTOR,WR06X1692FTL (1608 F 16.9K),4398
,F04RJ1800F,RESISTOR,WR06X1800FTL (1608 F 180R),4958
,F04RJ1801F,RESISTOR,WR06X1801FTL (1608 F 1.8K),4830
,F04RJ1803F,RESISTOR,1608 F 180K,4994
,F04RJ184J1,RESISTOR,WR06X184JTL (1608 J 180K),4961
,F04RJ1874F,RESISTOR,1608 F 1.87M,4973
,F04RJ1R00F,RESISTOR,1608 F 1R,4898
,F04RJ2003F,RESISTOR,WR06X2003FTL (1608 F 200K),4309
,F04RJ203J1,RESISTOR,WR06X203JTL (1608 J 20K),4529
,F04RJ2103F,RESISTOR,1608 F 210K,4983
,F04RJ2212F,RESISTOR,WR06X2212FTL (1608 F 22.1K),4920
,F04RJ221J1,RESISTOR,WR06X221JTL (1608 J 220R),3490
,F04RJ223J1,RESISTOR,WR06X223JTL (1608 J 22K),4143
,F04RJ2321F,RESISTOR,1608 F 2.32K,4994
,F04RJ2401F,RESISTOR,WR06X2401FTL (1608 F 2.4K),4977
,F04RJ2402F,RESISTOR,1608 F 24K,2772
,F04RJ2403F,RESISTOR,1608 F 240K,4751
,F04RJ2492F,RESISTOR,WR06X2492FTL (1608 F 24.9K),4564
,F04RJ24R9F,RESISTOR,1608 F 24.9R,4943
,F04RJ2700F,RESISTOR,1608 F 270R,4994
,F04RJ27R0F,RESISTOR,1608 F 27R,4985
,F04RJ2871F,RESISTOR,1608 F 2.87K,3815
,F04RJ3002F,RESISTOR,1608 F 30K,3640
,F04RJ303J1,RESISTOR,WR06X303JTL (1608 J 30K),4722
,F04RJ304J1,RESISTOR,1608 J 300K,4731
,F04RJ3092F,RESISTOR,WR06X3092FTL (1608 F 30.9K),4986
,F04RJ3162F,RESISTOR,1608 F 31.6K,4944
,F04RJ3163F,RESISTOR,WR06X3163FTL (1608 F 316K),4920
,F04RJ3302F,RESISTOR,WR06X3302FTL (1608 F 33K),4924
,F04RJ3303F,RESISTOR,1608 F 330K,4756
,F04RJ3402F,RESISTOR,WR06X3402FTL (1608 F 34K),4824
,F04RJ3482F,RESISTOR,WR06X3482FTL (1608 F 34.8K),4924
,F04RJ3571F,RESISTOR,1608 F 3.57K,2689
,F04RJ360J1,RESISTOR,WR06X360JTL (1608 J 36R),3844
,F04RJ3652F,RESISTOR,1608 F 36.5K,4991
,F04RJ3900F,RESISTOR,WR06X3900FTL (1608 F 390R),3541
,F04RJ3902F,RESISTOR,1608 F 39K,2966
,F04RJ4020F,RESISTOR,WR06X4020FTL (1608 F 402R),4372
,F04RJ4021F,RESISTOR,WR06X4021FTL (1608 F 4.02K),4365
,F04RJ4022F,RESISTOR,1608 F 40.2K,4994
,F04RJ4532F,RESISTOR,1608 F 45.3K,4630
,F04RJ4703F,RESISTOR,1608 F 470K,4989
,F04RJ470J1,RESISTOR,WR06X470JTL (1608 J 47R),3851
,F04RJ471J1,RESISTOR,WR06X471JTL (1608 J 470R),2329
,F04RJ474J1,RESISTOR,WR06X474JTL (1608 J 470K),4922
,F04RJ4872F,RESISTOR,1608 F 48.7K,4983
,F04RJ4990F,RESISTOR,1608 F 499R,3561
,F04RJ4991F,RESISTOR,1608 F 4.99K,4750
,F04RJ4R70F,RESISTOR,1608 F 4.7R,4985
,F04RJ5100F,RESISTOR,1608 F 510R,3975
,F04RJ5101F,RESISTOR,1608 F 5.1K,3714
,F04RJ511J1,RESISTOR,WR06X511JTL (1608 J 510R),4474
,F04RJ512J1,RESISTOR,WR06X512JTL (1608 J 5.1K),9838
,F04RJ5622F,RESISTOR,1608 F 56.2K,4976
,F04RJ563J1,RESISTOR,WR06X563JTL (1608 J 56K),4661
,F04RJ5902F,RESISTOR,WR06X5902FTL (1608 F 59K),4926
,F04RJ6192F,RESISTOR,1608 F 61.9K,4984
,F04RJ6200F,RESISTOR,1608 F 620R,4957
,F04RJ6492F,RESISTOR,1608 F 64.9K,4744
,F04RJ6651F,RESISTOR,1608 F 6.65K,4983
,F04RJ6802F,RESISTOR,WR06X6802FTL (1608 F 68K),4689
,F04RJ6811F,RESISTOR,1608 F 6.81K,4731
,F04RJ681J1,RESISTOR,WR06X133JTL (1608 J 680R),4325
,F04RJ682J1,RESISTOR,WR06X682JTL (1608 J 6.8K),9084
,F04RJ68R01,RESISTOR,1608 F 68R,4951
,F04RJ7501F,RESISTOR,WR06X7501FTL (1608 F 7.5K),2639
,F04RJ7501J1,RESISTOR,1608 J 75R,2307
,F04RJ7502F,RESISTOR,1608 F 75K,1751
,F04RJ7503F,RESISTOR,WR06X7503FTL (1608 F 750K),4155
,F04RJ75R0F,RESISTOR,WR06X75R0FTL (1608 F 75R),4509
,F04RJ8062F,RESISTOR,1608 F 80.6K,4983
,F04RJ8200F,RESISTOR,1608 F 820R,4810
,F04RJ821J1,RESISTOR,WR06X821JTL (1608 J 820R),2606
,F04RJ912J1,RESISTOR,WR06X912JTL (1608 J 9.1K),4882
,F04RJ913J1,RESISTOR,1608 J 91K,4874
,F04RJ91R0F,RESISTOR,WR06X91R0FTL (1608 F 91R),4941
,F04RJ9310F,RESISTOR,1608 F 931R,4937
,F04RP01R0F,RESISTOR,2012 F 1R,4982
,F04RP0R03F,RESISTOR,WSLP0805R0330FEA (2012 F 0.033R),84
,F04RP1004F,RESISTOR,1608 F 1M,4988
,F04RP102J1,RESISTOR,WR08X102JTL (2012 J 1K),3601
,F04RP103J1,RESISTOR,WR08X103JTL (2012 J 10K),3127
,F04RP104J1,RESISTOR,WR08X104JTL (2012 J 100K),3822
,F04RP1152F,RESISTOR,2012 F 11.5K,4994
,F04RP1200F,RESISTOR,2012 F 120R,4992
,F04RP1501F,RESISTOR,2012 F 1.5K,4985
,F04RP1502F,RESISTOR,2012 F 15K,4988
,F04RP1782F,RESISTOR,2012 F 17.8K,4984
,F04RP1800F,RESISTOR,2012 F 180R,4976
,F04RP1R13F,RESISTOR,2012 F 1.13R,90
,F04RP2000F,RESISTOR,2012 F 200R,4984
,F04RP202J1,RESISTOR,WR08X202JTL (2012 J 2K),3006
,F04RP220J1,RESISTOR,WR08X220JTL (2012 J 22R),4332
,F04RP2210F,RESISTOR,2012 F 221R,4976
,F04RP2260F,RESISTOR,2012 F 226R,4986
,F04RP22R0F,RESISTOR,2012 F 22R,4979
,F04RP2400F,RESISTOR,2012 F 240R,4983
,F04RP2402F,RESISTOR,2012 F 24K,4989
,F04RP24R9F,RESISTOR,2012 F 24.9R,4945
,F04RP2701F,RESISTOR,2012 F 2.7K,4980
,F04RP3000F,RESISTOR,2012 F 300R,4952
,F04RP3740F,RESISTOR,2012 F 374R,4974
,F04RP3920F,RESISTOR,2012 F 392R,4956
,F04RP4020F,RESISTOR,2012 F 402R,4976
,F04RP4531F,RESISTOR,1608 F 4.53K,4994
,F04RP4700F,RESISTOR,2012 F 470R,4966
,F04RP470J1,RESISTOR,WR08X470JTL (2012 J 47R),3879
,F04RP4990F,RESISTOR,WR08X4990FTL (2012 F 499R),4797
,F04RP4R20F,RESISTOR,2012 F 4.7R,4970
,F04RP56R2F,RESISTOR,2012 F 56.2R,4976
,F04RP6200F,RESISTOR,2012 F 620R,4746
,F04RP6490F,RESISTOR,2012 F 649R,4986
,F04RP7500F,RESISTOR,1608 F 750R,4992
,F04RP75R0F,RESISTOR,WR08X75R0FTL (2012 F 75R),3803
,F04RP7681F,RESISTOR,2012 F 7.68K,4979
,F04RP82R0F,RESISTOR,2012 F 82R,4988
,F04RR1000F,RESISTOR,0603 F 100R,14849
,F04RR102J1,RESISTOR,WR02X102JAL (0603 J 1K),13556
,F04RR2001F,RESISTOR,WR02X2001FAL (0603 F 2K),12983
,F04RR2003F,RESISTOR,WR02X2003FAL (0603 F 200K),13351
,F04RR2491F,RESISTOR,0603 F 2.49K,14562
,F04RR3002F,RESISTOR,WR02X3002FAL (0603 F 30K),14442
,F04RR331J1,RESISTOR,WR02X331JAL (0603 J 330R),13841
,F04RR33R0F,RESISTOR,0603 F 33R,14890
,F04RR4704F,RESISTOR,WR02W4704FAL (0603 F 4.7M),14090
,F04RR471J1,RESISTOR,WR02X471JAL (0603 J 470R),14836
,F04RR5103F,RESISTOR,WR02X5103FAL (0603 F 510K),14030
,F04RS100J1,RESISTOR,1005 J 10R,8148
,F04RS1022F,RESISTOR,WR04X1022FTL (1005 F 10.2K),18599
,F04RS1052F,RESISTOR,WR04X1052FTL (1005 F 10.5K),9934
,F04RS106J1,RESISTOR,WR04X106JTL (1005 J 10M),8669
,F04RS1072F,RESISTOR,WR04X1072FTL (1005 F 10.7K),8914
,F04RS1101F,RESISTOR,1005 F 1.1K,9892
,F04RS1102F,RESISTOR,WR04X1102FTL (1005 F 11K),8066
,F04RS1133F,RESISTOR,1005 F 113K,9943
,F04RS114J1,RESISTOR,WR04X114JTL (1005 J 110K),9161
,F04RS1152F,RESISTOR,WR04X1152FTL (1005 F 11.5K),3796
,F04RS1182F,RESISTOR,1005 F 11.8K,9967
,F04RS1201F,RESISTOR,1005 F 1.2K,10000
,F04RS1202F,RESISTOR,WR04X1202FTL (1005 F 12K),9772
,F04RS1204F,RESISTOR,1005 F 1.2M,9965
,F04RS1211F,RESISTOR,WR04X1212FTL (1005 F 1.21K),19793
,F04RS1213F,RESISTOR,1005 F 121K,9896
,F04RS1241F,RESISTOR,WR04X1242FTL (1005 F 12.4K),9602
,F04RS124J1,RESISTOR,1005 J 120K,8751
,F04RS12R0F,RESISTOR,1005 F 12R,9791
,F04RS1300F,RESISTOR,1608 F 130R,4983
,F04RS1301F,RESISTOR,WR04X1301FTL (1005 F 1.3K),9859
,F04RS1302F,RESISTOR,WR04X1302FTL (1005 F 13K),8403
,F04RS1372F,RESISTOR,1005 F 13.7K,9976
,F04RS1373F,RESISTOR,1005 F 137K,9961
,F04RS1402F,RESISTOR,WR04X1402FTL (1005 F 14K),9677
,F04RS1431F,RESISTOR,WR04X1431FTL (1005 F 1.43K),9094
,F04RS1433F,RESISTOR,WR04X1433FTL (1005 F 143K),9420
,F04RS1473F,RESISTOR,1005 F 147K,9891
,F04RS1500F,RESISTOR,1005 F 150R,9271
,F04RS1502F,RESISTOR,WR04X1502FTL (1005 F 15K),5804
,F04RS151J1,RESISTOR,WR04X151JTL (1005 J 150R),14208
,F04RS1602F,RESISTOR,1005 F 16K,9975
,F04RS1603F,RESISTOR,1005 F 160K,9971
,F04RS1623F,RESISTOR,WR04X1623FTL (1005 F 162K),18513
,F04RS1651F,RESISTOR,1005 F 1.65K,9913
,F04RS1742F,RESISTOR,WR04X1742FTL (1005 F 17.4K),9030
,F04RS1800F,RESISTOR,WR04X1800FTL (1005 F 180R),9908
,F04RS1801F,RESISTOR,WR04X1801FTL (1005 F 1.8K),9981
,F04RS1802F,RESISTOR,1005 F 18K,9653
,F04RS1822F,RESISTOR,1005 F 18.2K,7286
,F04RS182J1,RESISTOR,WR04X182JTL (1005 J 1.8K),6108
,F04RS184J1,RESISTOR,WR04X184JTL (1005 J 180K),9376
,F04RS1872F,RESISTOR,WR04X1872FTL (1005 F 18.7K),7528
,F04RS1912F,RESISTOR,1005 F 19.1K,9770
,F04RS200J1,RESISTOR,WR04X392JTL (1005 J 200R),7221
,F04RS205J1,RESISTOR,WR04X205JTL (1005 J 2M),9673
,F04RS2201F,RESISTOR,1005 F 2.2K,9983
,F04RS2202F,RESISTOR,WR04X2202FTL (1005 F 22K),17987
,F04RS2203F,RESISTOR,1005 F 220K,9952
,F04RS2212F,RESISTOR,WR04X2212FTL (1005 F 22.1K),7764
,F04RS221J1,RESISTOR,WR04X221JTL (1005 J 220R),17036
,F04RS224J1,RESISTOR,WR04X224JTL (1005 J 220K),9446
,F04RS2371F,RESISTOR,WR04X2371FTL (1005 F 2.37K),8590
,F04RS2372F,RESISTOR,1005 F 23.7K,9969
,F04RS2401F,RESISTOR,1005 F 2.4K,9056
,F04RS2402F,RESISTOR,1005 F 24K,9959
,F04RS242J1,RESISTOR,WR04X242JTL (1005 J 2.4K),9419
,F04RS243J1,RESISTOR,WR04X243JTL (1005 J 24K),8710
,F04RS2493F,RESISTOR,1005 F 249K,9898
,F04RS2610F,RESISTOR,1005 F 261R,9950
